Bacterial pathway	full_name	cate_name	class_name
PWY-5850	superpathway of menaquinol-6 biosynthesis I	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5899	superpathway of menaquinol-13 biosynthesis	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis	"Phylloquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5840	superpathway of menaquinol-7 biosynthesis	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5898	superpathway of menaquinol-12 biosynthesis	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5791	PWY.5791_1.4.dihydroxy.2.naphthoate_biosynthesis_II_.plants.		quinone biosynthesis
PWY-5896	superpathway of menaquinol-10 biosynthesis	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5897	superpathway of menaquinol-11 biosynthesis	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	"Demethylmenaquinol-6-Biosynthesis;Demethylmenaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	"Demethylmenaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5845	superpathway of menaquinol-9 biosynthesis	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5837	"1,4-dihydroxy-2-naphthoate biosynthesis"	"DHNA-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY3O-19	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	"Demethylmenaquinol-6-Biosynthesis;Demethylmenaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-6263	superpathway of menaquinol-8 biosynthesis II	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5864	superpathway of plastoquinol biosynthesis	"Plastoquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-7374	"1,4-dihydroxy-6-naphthoate biosynthesis I"	"14-Dihydroxy-6-Naphthoate-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-7371	"1,4-dihydroxy-6-naphthoate biosynthesis II"	"14-Dihydroxy-6-Naphthoate-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
METHANOGENESIS-PWY	methanogenesis from H-2 and CO-2	METHANOGENESIS;ANAEROBIC-RESPIRATION;Respiration;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-6728	methylaspartate cycle	Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-6830	superpathway of methanogenesis	METHANOGENESIS;ANAEROBIC-RESPIRATION;Respiration;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
METH-ACETATE-PWY	methanogenesis from acetate	METHANOGENESIS;ANAEROBIC-RESPIRATION;Respiration;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	Electron-Transfer;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-922	mevalonate pathway I	Isopentenyl-Diphosphate-Biosynthesis;Hemiterpenes Biosynthesis;Terpenoids Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-7391	isoprene biosynthesis II (engineered)	ISOPRENOIDS;Terpenoid-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-6098	diploterol and cycloartenol biosynthesis	TRITERPENOID-SYN;Terpenoid-Biosynthesis;	secondary metabolites biosynthesis
PWY-7111	pyruvate fermentation to isobutanol (engineered)	Alcohol-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-6886	1-butanol autotrophic biosynthesis (engineered)	Alcohol-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-6883	pyruvate fermentation to butanol II (engineered)	Alcohol-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-6322	phosphinothricin tripeptide biosynthesis	Antibiotic-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-5757	fosfomycin biosynthesis	Antibiotic-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-7392	taxadiene biosynthesis (engineered)	DITERPENOID-SYN;Terpenoid-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-7397	naringenin biosynthesis (engineered)	FLAVONOID-SYN;PHENYLPROPANOID-SYN;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	Secondary Metabolites Biosynthesis;Biosynthesis;Pathways	secondary metabolites biosynthesis
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis	Secondary Metabolites Biosynthesis;Biosynthesis;Pathways	secondary metabolites biosynthesis
PWY-6703	preQ-0 biosynthesis	Secondary Metabolites Biosynthesis;Biosynthesis;Pathways	secondary metabolites biosynthesis
PWY1F-FLAVSYN	flavonoid biosynthesis	FLAVONOID-SYN;PHENYLPROPANOID-SYN;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-7560	methylerythritol phosphate pathway II	Isopentenyl-Diphosphate-Biosynthesis;Hemiterpenes Biosynthesis;Terpenoids Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I	Isopentenyl-Diphosphate-Biosynthesis;Hemiterpenes Biosynthesis;Terpenoids Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	LEUCOANTHOCYANIDIN-SYN;FLAVONOID-SYN;Phenylpropanoid Derivatives Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-7003	glycerol degradation to butanol	Alcohol-Biosynthesis;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-7398	coumarins biosynthesis (engineered)	COUMARIN-SYN;PHENYLPROPANOID-SYN;Secondary Metabolites Biosynthesis;Biosynthesis	secondary metabolites biosynthesis
PWY-6644	fluoroacetate and fluorothreonine biosynthesis	Secondary Metabolites Biosynthesis;Biosynthesis;Pathways	secondary metabolites biosynthesis
PWY-6270	isoprene biosynthesis I	Hemiterpenes Biosynthesis	secondary metabolites biosynthesis
AEROBACTINSYN-PWY	aerobactin biosynthesis	 Siderophore Biosynthesis	secondary metabolites biosynthesis
PWY-6351	"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	secondary metabolites biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis	Siderophores-Biosynthesis;Biosynthesis;Pathways	secondary metabolites biosynthesis
PWY-6948	sitosterol degradation to androstenedione	Steroids-Degradation;Degradation;Pathways	fatty acid and lipid degradation
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	Cholesterol-Degradation;Steroids-Degradation;Degradation/Utilization/Assimilation	fatty acid and lipid degradation
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	Storage-Compounds-Biosynthesis;Biosynthesis;Pathways	storage compounds biosynthesis
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	Sugar Derivatives Degradation;SECONDARY-METABOLITE-DEGRADATION;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY-6531	mannitol cycle	SUGAR-ALCOHOLS-DEG;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
P461-PWY	"hexitol fermentation to lactate, formate, ethanol and acetate"	SUGAR-ALCOHOLS-DEG;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY-7446	sulfoquinovose degradation I	Sulfoquinovose-Degradation;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
KETOGLUCONMET-PWY	ketogluconate metabolism	SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY-7237	"myo-, chiro- and scillo-inositol degradation"	SUGAR-ALCOHOLS-DEG;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	Super-Pathways;Pathways	sugar derivatives degradation
PWY-7242	D-fructuronate degradation	SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
GALACTUROCAT-PWY	D-galacturonate degradation I	D-Galacturonate-Degradation;SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	Super-Pathways;Pathways	sugar derivatives degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	Super-Pathways;Pathways	sugar derivatives degradation
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	Super-Pathways;Pathways	sugar derivatives degradation
GLUCARDEG-PWY	D-glucarate degradation I	D-Glucarate-Degradation;SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
GALACTARDEG-PWY	D-galactarate degradation I	D-Galactarate-Degradation;SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY-6486	D-galacturonate degradation II	D-Galacturonate-Degradation;SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY-6491	D-galacturonate degradation III	D-Galacturonate-Degradation;SUGAR-ACIDS-DEG;Carboxylates Degradation/Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY-4702	phytate degradation I	Phytate-Degradation;CYCLITOLS-DEG;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
P562-PWY	myo-inositol degradation I	SUGAR-ALCOHOLS-DEG;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	SUGAR-ALCOHOLS-DEG;Sugar Derivatives Degradation;Secondary Metabolites Degradation;Degradation/Utilization/Assimilation	sugar derivatives degradation
PWY0-1261	anhydromuropeptides recycling	Sugar Derivatives Degradation;SECONDARY-METABOLITE-DEGRADATION;Degradation/Utilization/Assimilation	sugar derivatives degradation
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	Super-Pathways;Pathways	vitamin biosynthesis
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
PWY-5690	TCA cycle II (plants and fungi)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
REDCITCYC	TCA cycle VIII (helicobacter)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
PWY-7254	TCA cycle VII (acetate-producers)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
PWY-5913	partial TCA cycle (obligate autotrophs)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
PWY66-398	TCA cycle III (animals)	TCA-VARIANTS;Energy-Metabolism;Pathways	TCA cycle
UNINTEGRATED	UNINTEGRATED	UNINTEGRATED	un-integrated
UNMAPPED	UNMAPPED	UNMAPPED	un-mapped
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)	"Ascorbate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PANTO-PWY	phosphopantothenate biosynthesis I	"Pantothenate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	"Vitamin-B6-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	"Vitamin-B6-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6895	superpathway of thiamine diphosphate biosynthesis II	"Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6891	thiazole biosynthesis II (aerobic bacteria)	"Thiazole-Biosynthesis;Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6654	phosphopantothenate biosynthesis III	"Pantothenate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6167	flavin biosynthesis II (archaea)	"Flavin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6519	8-amino-7-oxononanoate biosynthesis I	"7-Keto-8-aminopelargonate-Biosynthesis;BIOTIN-SYN;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	"BIOTIN-SYN;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	"Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6897	thiamine salvage II	"Thiamin-Salvage;Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	"B12-Salvage-From-Cobinamide;Adenosylcobalamin-Biosynthesis;Cobalamin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-5508	"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II"	"B12-Biosynthesis-From-Cobyrinate-Diamide;Adenosylcobalamin-Biosynthesis;Cobalamin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)	"De-Novo-Adenosylcobalamin-Biosynthesis;Adenosylcobalamin-Biosynthesis;Cobalamin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	"Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-5509	"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"	"B12-Biosynthesis-From-Cobyrinate-Diamide;Adenosylcobalamin-Biosynthesis;Cobalamin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6415	L-ascorbate biosynthesis V	"Ascorbate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	"6-HM-Dihydropterin-PP-Biosynthesis;Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	"Flavin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-3841	folate transformations II	"Folate-Transformations;Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-5005	biotin biosynthesis II	"BIOTIN-SYN;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6168	flavin biosynthesis III (fungi)	"Flavin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY3DJ-35471	L-ascorbate biosynthesis IV	"Ascorbate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
1CMET2-PWY	N-10-formyl-tetrahydrofolate biosynthesis	"Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	"Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6612	superpathway of tetrahydrofolate biosynthesis	"Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	"6-HM-Dihydropterin-PP-Biosynthesis;Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-2201	folate transformations I	"Folate-Transformations;Folate-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)	"Vitamin-B6-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6857	retinol biosynthesis	"Vitamin-A-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)	"Thiazole-Biosynthesis;Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-7357	thiamine formation from pyrithiamine and oxythiamine (yeast)	"Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	"HMP-PP-Biosynthesis;Thiamine-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
PWY-6269	adenosylcobalamin salvage from cobinamide II	"B12-Salvage-From-Cobinamide;Adenosylcobalamin-Biosynthesis;Cobalamin-Biosynthesis;Vitamin-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	vitamin biosynthesis
